Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
35 to 39,Population,PAN,Female,1/1/2010,0M,125184.578201013,
75 to 79,Population,BFA,Female,1/1/2015,0M,56398.887859585,
40 to 44,Population,MRT,Female,1/1/2008,0M,72461.730804169,
45 to 49,Population,MNG,Female,1/1/2013,0M,92725.379181632,
20 to 24,Population,FRA,Male,1/1/2017,2M,,1919219.13878301
20 to 24,Population,BDI,Male,1/1/2008,0M,,393310.013033388
60 to 64,Population,BRB,Female,1/1/2014,0M,8411.508435401,
10 to 14,Population,MLI,Male,1/1/2010,1M,,1050888.45821715
50 to 54,Population,QAT,Male,1/1/2017,0M,,80514.267147164
10 to 14,Population,CYP,Male,1/1/2017,0M,,32564.858453910
75 to 79,Population,NAM,Female,1/1/2017,0M,12835.971740391,
40 to 44,Population,TON,Female,1/1/2014,0M,2979.559098616,
60 to 64,Population,GUM,Female,1/1/2013,0M,3486.899174012,
80 plus,Population,WSM,Female,1/1/2014,0M,1109.127745173,
40 to 44,Population,ATG,Male,1/1/2012,0M,,3202.699477260
40 to 44,Population,JOR,Male,1/1/2012,0M,,253723.172343948
45 to 49,Population,VCT,Male,1/1/2013,0M,,3829.192622849
75 to 79,Population,ZWE,Female,1/1/2012,0M,36514.676973491,
75 to 79,Population,BRA,Female,1/1/2010,1M,1497047.04517557,
65 to 69,Population,MMR,Female,1/1/2011,1M,543840.228175237,
45 to 49,Population,YEM,Female,1/1/2014,0M,423829.725976701,
45 to 49,Population,RUS,Female,1/1/2014,5M,4781946.84030178,
80 plus,Population,AND,Male,1/1/2016,0M,,1283.177593650
50 to 54,Population,GNQ,Female,1/1/2017,0M,17132.010814853,
20 to 24,Population,JAM,Male,1/1/2010,0M,,126344.338551416
80 plus,Population,SGP,Female,1/1/2014,0M,63009.356198144,
60 to 64,Population,MNG,Female,1/1/2009,0M,26956.753157158,
30 to 34,Population,POL,Female,1/1/2016,2M,1594321.91946193,
75 to 79,Population,MRT,Male,1/1/2011,0M,,12806.320039894
50 to 54,Population,MMR,Male,1/1/2008,1M,,1025995.56317561
50 to 54,Population,PRI,Female,1/1/2008,0M,128337.952428372,
80 plus,Population,MNG,Female,1/1/2013,0M,11211.014976985,
65 to 69,Population,CHN,Female,1/1/2012,23M,23082640.005527,
25 to 29,Population,KGZ,Female,1/1/2012,0M,259423.678454655,
40 to 44,Population,IDN,Male,1/1/2010,8M,,8418116.17072357
45 to 49,Population,MDG,Female,1/1/2012,0M,394799.744344436,
45 to 49,Population,SGP,Female,1/1/2014,0M,191634.662202587,
65 to 69,Population,BMU,Female,1/1/2017,0M,1973.085695972,
60 to 64,Population,IRQ,Male,1/1/2011,0M,,327056.329973322
60 to 64,Population,VCT,Male,1/1/2009,0M,,1769.203271200
75 to 79,Population,DEU,Male,1/1/2016,2M,,1867019.53381759
35 to 39,Population,GAB,Female,1/1/2013,0M,49703.587114018,
75 to 79,Population,CAN,Female,1/1/2008,1M,500822.204046927,
50 to 54,Population,PSE,Female,1/1/2010,0M,56629.034538235,
80 plus,Population,VCT,Male,1/1/2013,0M,,1215.110062010
15 to 19,Population,VUT,Male,1/1/2014,0M,,13654.175362756
65 to 69,Population,TUR,Male,1/1/2014,1M,,1037861.61329861
5 to 9,Population,RUS,Female,1/1/2017,4M,4427389.09101223,
80 plus,Population,YEM,Female,1/1/2014,0M,60825.586035640,
40 to 44,Population,SDN,Female,1/1/2014,1M,874177.288929298,
Under 5,Population,BGR,Female,1/1/2008,0M,170898.365752909,
70 to 74,Population,DNK,Female,1/1/2016,0M,151843.637308966,
50 to 54,Population,SYR,Female,1/1/2013,0M,364604.664018602,
20 to 24,Population,SVK,Male,1/1/2015,0M,,182849.843821984
15 to 19,Population,BDI,Female,1/1/2011,1M,536837.201230547,
20 to 24,Population,BRN,Female,1/1/2015,0M,18222.763789161,
20 to 24,Population,MNP,Female,1/1/2009,0M,1547.120915490,
50 to 54,Population,JPN,Female,1/1/2014,4M,3949567.41650469,
20 to 24,Population,NPL,Female,1/1/2016,2M,1549562.94229624,
10 to 14,Population,CRI,Female,1/1/2010,0M,201462.082936468,
75 to 79,Population,PAK,Male,1/1/2017,1M,,678104.033639198
60 to 64,Population,ERI,Female,1/1/2014,0M,47469.713848287,
10 to 14,Population,NLD,Male,1/1/2014,1M,,520125.191591527
40 to 44,Population,UGA,Male,1/1/2016,1M,,657537.529296891
15 to 19,Population,LAO,Female,1/1/2014,0M,360397.065691,
5 to 9,Population,SYC,Male,1/1/2013,0M,,3580.583006343
60 to 64,Population,VEN,Male,1/1/2008,0M,,335382.986212074
55 to 59,Population,GHA,Female,1/1/2016,0M,394496.617759664,
80 plus,Population,RUS,Female,1/1/2014,3M,3340399.84008016,
30 to 34,Population,AFG,Female,1/1/2017,1M,754406.816560837,
Under 5,Population,DZA,Male,1/1/2016,2M,,2282350.46462069
Under 5,Population,EGY,Female,1/1/2008,5M,4637523.87346813,
Under 5,Population,BIH,Male,1/1/2009,0M,,96374.468161719
20 to 24,Population,PRK,Female,1/1/2011,1M,988141.366323143,
5 to 9,Population,NOR,Male,1/1/2015,0M,,162067.991362497
25 to 29,Population,SAU,Male,1/1/2010,2M,,1710253.08723422
5 to 9,Population,ARM,Male,1/1/2016,0M,,109724.128956983
75 to 79,Population,MAR,Male,1/1/2014,0M,,208330.373332096
55 to 59,Population,GEO,Male,1/1/2017,0M,,445130.469011245
25 to 29,Population,MNE,Male,1/1/2009,0M,,24064.154490167
5 to 9,Population,WSM,Female,1/1/2017,0M,11829.858756365,
5 to 9,Population,BLZ,Male,1/1/2011,0M,,20658.816975016
70 to 74,Population,CHE,Male,1/1/2017,0M,,186825.754334496
45 to 49,Population,GUM,Female,1/1/2009,0M,5290.400453874,
10 to 14,Population,BWA,Male,1/1/2015,0M,,110984.990262239
Under 5,Population,HND,Female,1/1/2008,0M,479174.211025765,
45 to 49,Population,AND,Male,1/1/2016,0M,,3696.436242792
80 plus,Population,GUM,Female,1/1/2009,0M,1166.684707823,
20 to 24,Population,CHL,Male,1/1/2012,1M,,760138.88359159
15 to 19,Population,PRK,Male,1/1/2008,1M,,1089104.31189774
5 to 9,Population,YEM,Female,1/1/2017,2M,2114483.66222975,
10 to 14,Population,SSD,Female,1/1/2015,1M,608905.259443749,
75 to 79,Population,SYR,Female,1/1/2009,0M,63437.226583839,
15 to 19,Population,NGA,Female,1/1/2015,11M,10611062.2270702,
65 to 69,Population,SLV,Female,1/1/2012,0M,78668.109148033,
20 to 24,Population,UGA,Male,1/1/2016,2M,,1681270.80539755
60 to 64,Population,GNB,Female,1/1/2014,0M,12439.556679270,
20 to 24,Population,IDN,Male,1/1/2010,10M,,10386038.5747029
45 to 49,Population,MNE,Male,1/1/2009,0M,,22188.065703008
5 to 9,Population,AZE,Male,1/1/2012,0M,,380470.238336765
40 to 44,Population,PRK,Female,1/1/2011,1M,1139462.13118499,
40 to 44,Population,BDI,Male,1/1/2008,0M,,166632.20365253
65 to 69,Population,DZA,Male,1/1/2014,0M,,359860.309484559
65 to 69,Population,LBR,Female,1/1/2010,0M,21138.284531291,
15 to 19,Population,NAM,Female,1/1/2017,0M,120688.247348307,
Under 5,Population,LVA,Male,1/1/2012,0M,,53696.757528578
30 to 34,Population,GNQ,Female,1/1/2017,0M,45612.901564019,
35 to 39,Population,GEO,Male,1/1/2017,0M,,460164.502040599
65 to 69,Population,BHS,Male,1/1/2012,0M,,3813.927872158
15 to 19,Population,MRT,Male,1/1/2011,0M,,173897.758169855
80 plus,Population,MNE,Male,1/1/2009,0M,,5473.898721115
30 to 34,Population,MMR,Male,1/1/2008,2M,,1839404.35321993
70 to 74,Population,MLI,Male,1/1/2010,0M,,74936.483871793
30 to 34,Population,PRI,Female,1/1/2008,0M,132073.133389722,
25 to 29,Population,WSM,Female,1/1/2014,0M,6519.937345641,
15 to 19,Population,SYR,Female,1/1/2009,1M,1120612.60077309,
15 to 19,Population,BFA,Female,1/1/2015,1M,1055419.47583989,
40 to 44,Population,MNP,Female,1/1/2009,0M,3537.367214099,
65 to 69,Population,MOZ,Female,1/1/2015,0M,152529.518620078,
Under 5,Population,TUR,Male,1/1/2016,3M,,3097285.26602141
20 to 24,Population,JOR,Male,1/1/2012,0M,,427292.269380678
65 to 69,Population,LUX,Male,1/1/2012,0M,,10176.553319820
40 to 44,Population,SVK,Male,1/1/2015,0M,,209508.313716532
60 to 64,Population,MNE,Male,1/1/2013,0M,,17482.306637220
20 to 24,Population,MRT,Female,1/1/2008,0M,146150.984375991,
15 to 19,Population,GTM,Male,1/1/2017,1M,,930913.778440444
30 to 34,Population,GRC,Female,1/1/2015,0M,360692.519893605,
55 to 59,Population,GAB,Female,1/1/2013,0M,21403.581650782,
35 to 39,Population,IRQ,Female,1/1/2008,1M,994860.766706986,
5 to 9,Population,STP,Female,1/1/2008,0M,11852.022275020,
45 to 49,Population,ARM,Male,1/1/2010,0M,,107413.036417444
10 to 14,Population,CHE,Male,1/1/2017,0M,,210534.355963435
Under 5,Population,KIR,Female,1/1/2017,0M,7959.199767484,
80 plus,Population,SAU,Male,1/1/2010,0M,,57291.085718406
30 to 34,Population,PSE,Female,1/1/2010,0M,130372.404164044,
20 to 24,Population,SDN,Female,1/1/2014,2M,1715939.94037493,
Under 5,Population,SRB,Male,1/1/2008,0M,,254037.018125121
60 to 64,Population,ZMB,Female,1/1/2010,0M,86854.295905438,
25 to 29,Population,YEM,Female,1/1/2014,1M,1179805.29498923,
65 to 69,Population,KIR,Female,1/1/2010,0M,868.028537897,
50 to 54,Population,POL,Female,1/1/2016,1M,1203149.77341687,
70 to 74,Population,BWA,Male,1/1/2015,0M,,9957.650798219
70 to 74,Population,CRI,Female,1/1/2010,0M,40368.917116178,
30 to 34,Population,TLS,Female,1/1/2010,0M,30413.572207494,
15 to 19,Population,MAR,Male,1/1/2014,2M,,1563126.63373382
25 to 29,Population,RUS,Female,1/1/2014,6M,6212279.07696615,
25 to 29,Population,MNG,Female,1/1/2013,0M,155711.93069544,
70 to 74,Population,GAB,Female,1/1/2009,0M,10154.040955963,
25 to 29,Population,SGP,Female,1/1/2014,0M,253858.706353979,
15 to 19,Population,CAN,Female,1/1/2008,1M,1095111.27496324,
20 to 24,Population,ATG,Male,1/1/2012,0M,,3349.063940025
40 to 44,Population,JAM,Male,1/1/2010,0M,,88042.647860945
45 to 49,Population,SAU,Male,1/1/2010,1M,,895118.381764279
30 to 34,Population,SYR,Female,1/1/2013,1M,747300.914166463,
5 to 9,Population,COL,Male,1/1/2011,2M,,2273298.55392505
70 to 74,Population,SSD,Female,1/1/2015,0M,26709.384487820,
60 to 64,Population,SLB,Male,1/1/2015,0M,,5609.527039462
15 to 19,Population,ZWE,Female,1/1/2012,1M,762057.868130076,
5 to 9,Population,ARE,Female,1/1/2012,0M,149638.702265844,
55 to 59,Population,PAN,Female,1/1/2010,0M,65774.678961108,
10 to 14,Population,ETH,Male,1/1/2016,7M,,6899774.90379479
70 to 74,Population,CYP,Male,1/1/2017,0M,,22711.387284735
Under 5,Population,GRL,Female,1/1/2017,0M,1892.403212909,
40 to 44,Population,CHL,Male,1/1/2012,1M,,600481.33583209
60 to 64,Population,ISR,Female,1/1/2015,0M,198608.991572147,
5 to 9,Population,TZA,Male,1/1/2009,3M,,3188711.28440782
5 to 9,Population,COG,Male,1/1/2009,0M,,259507.391992441
45 to 49,Population,KGZ,Female,1/1/2012,0M,163861.316339364,
35 to 39,Population,VEN,Female,1/1/2011,1M,987695.370677895,
5 to 9,Population,KOR,Female,1/1/2010,1M,1181266.44334554,
75 to 79,Population,LAO,Female,1/1/2014,0M,25522.624175948,
25 to 29,Population,AND,Male,1/1/2016,0M,,2180.826367524
80 plus,Population,KGZ,Female,1/1/2012,0M,45243.610803964,
75 to 79,Population,BDI,Female,1/1/2011,0M,18940.382500052,
50 to 54,Population,AFG,Female,1/1/2017,0M,407209.591055112,
65 to 69,Population,GRL,Female,1/1/2010,0M,793.781584075,
30 to 34,Population,JPN,Female,1/1/2014,4M,3792494.12248254,
40 to 44,Population,BRN,Female,1/1/2015,0M,15834.687215214,
70 to 74,Population,NLD,Male,1/1/2014,0M,,331992.293321212
75 to 79,Population,NGA,Female,1/1/2015,0M,482986.392988487,
40 to 44,Population,FRA,Male,1/1/2017,2M,,2117212.31257125
25 to 29,Population,KOR,Female,1/1/2016,2M,1590541.21819149,
Under 5,Population,SLE,Male,1/1/2015,1M,,586806.422620979
65 to 69,Population,BHR,Male,1/1/2015,0M,,9176.707757302
10 to 14,Population,DNK,Female,1/1/2016,0M,162467.355527339,
70 to 74,Population,TGO,Female,1/1/2010,0M,27735.096144920,
15 to 19,Population,DEU,Male,1/1/2016,2M,,2232073.19801108
80 plus,Population,ARM,Male,1/1/2010,0M,,23483.501870791
30 to 34,Population,QAT,Male,1/1/2017,0M,,402030.526519873
80 plus,Population,MUS,Female,1/1/2015,0M,14842.870045835,
45 to 49,Population,MUS,Female,1/1/2015,0M,46460.991978232,
25 to 29,Population,GUM,Female,1/1/2009,0M,5467.685599101,
65 to 69,Population,MNP,Female,1/1/2013,0M,314.300210513,
20 to 24,Population,CAN,Male,1/1/2011,1M,,1133241.69881426
5 to 9,Population,AND,Male,1/1/2010,0M,,2187.954025702
60 to 64,Population,CZE,Female,1/1/2012,0M,385220.388889738,
Under 5,Population,LBR,Female,1/1/2017,0M,346269.477212617,
40 to 44,Population,ISL,Male,1/1/2016,0M,,11060.289907170
40 to 44,Population,NPL,Female,1/1/2016,1M,853958.985710704,
25 to 29,Population,VCT,Male,1/1/2013,0M,,4208.339305975
75 to 79,Population,VUT,Male,1/1/2014,0M,,1050.502968057
20 to 24,Population,TON,Female,1/1/2014,0M,4268.939435088,
20 to 24,Population,DMA,Female,1/1/2017,0M,2568.333584933,
5 to 9,Population,OMN,Male,1/1/2013,0M,,138462.521847349
15 to 19,Population,BRA,Female,1/1/2010,9M,8717097.16615755,
75 to 79,Population,PRK,Male,1/1/2008,0M,,82120.720616853
15 to 19,Population,PAK,Male,1/1/2017,12M,,12217713.3294642
35 to 39,Population,GHA,Female,1/1/2016,1M,966544.578462849,
25 to 29,Population,MDG,Female,1/1/2012,1M,863771.494621261,
80 plus,Population,BTN,Female,1/1/2014,0M,3862.054315978,
Under 5,Population,LBY,Female,1/1/2016,0M,316264.329528326,
Under 5,Population,MHL,Female,1/1/2013,0M,3331.053141551,
15 to 19,Population,ROU,Female,1/1/2016,1M,514595.410214361,
10 to 14,Population,GRD,Female,1/1/2010,0M,4748.654085513,
45 to 49,Population,TKM,Female,1/1/2009,0M,141491.687779222,
Under 5,Population,BRN,Female,1/1/2010,0M,15105.536058798,
60 to 64,Population,FJI,Female,1/1/2009,0M,12609.174636053,
35 to 39,Population,CHE,Male,1/1/2015,0M,,297934.841988482
70 to 74,Population,IRL,Female,1/1/2011,0M,68063.208241905,
35 to 39,Population,JOR,Female,1/1/2016,0M,323632.367269461,
80 plus,Population,IRL,Male,1/1/2008,0M,,42137.135139035
20 to 24,Population,ITA,Male,1/1/2013,2M,,1611884.04214893
5 to 9,Population,PSE,Male,1/1/2012,0M,,300177.41765909
5 to 9,Population,TLS,Male,1/1/2012,0M,,82040.105659297
70 to 74,Population,NZL,Male,1/1/2009,0M,,60414.329298185
40 to 44,Population,MOZ,Female,1/1/2017,1M,617340.776684103,
30 to 34,Population,BFA,Female,1/1/2017,1M,720202.433421046,
45 to 49,Population,ECU,Male,1/1/2010,0M,,374970.923459775
50 to 54,Population,RWA,Male,1/1/2013,0M,,150277.23299833
35 to 39,Population,IRN,Male,1/1/2011,3M,,2933538.70040898
10 to 14,Population,CMR,Female,1/1/2010,1M,1333445.42137246,
55 to 59,Population,CAF,Male,1/1/2011,0M,,47069.989982925
10 to 14,Population,KAZ,Male,1/1/2010,1M,,601118.718587946
5 to 9,Population,MWI,Male,1/1/2009,1M,,1055051.03391905
30 to 34,Population,URY,Male,1/1/2008,0M,,117578.907544424
5 to 9,Population,ISR,Female,1/1/2014,0M,378512.449333064,
25 to 29,Population,SVN,Female,1/1/2010,0M,70774.611289556,
45 to 49,Population,POL,Male,1/1/2012,1M,,1189865.47903931
80 plus,Population,MDV,Female,1/1/2010,0M,1128.034632413,
15 to 19,Population,GRC,Female,1/1/2017,0M,247269.846997911,
65 to 69,Population,PER,Female,1/1/2011,0M,333280.307246131,
55 to 59,Population,CHL,Female,1/1/2016,1M,539232.448795629,
55 to 59,Population,SSD,Female,1/1/2017,0M,86544.420450508,
55 to 59,Population,NPL,Male,1/1/2012,0M,,443077.290558106
45 to 49,Population,IRL,Male,1/1/2008,0M,,146070.473069754
5 to 9,Population,BTN,Female,1/1/2017,0M,45562.601014650,
10 to 14,Population,GUY,Female,1/1/2011,0M,42147.969404423,
50 to 54,Population,PER,Male,1/1/2008,1M,,584046.641102705
35 to 39,Population,NIC,Female,1/1/2014,0M,203567.86431199,
25 to 29,Population,TUN,Male,1/1/2010,0M,,482221.446208258
75 to 79,Population,CZE,Male,1/1/2016,0M,,138111.371859151
10 to 14,Population,GEO,Male,1/1/2015,0M,,491857.41844033
55 to 59,Population,ISL,Female,1/1/2012,0M,9459.869843754,
35 to 39,Population,UGA,Female,1/1/2012,1M,787026.048302141,
60 to 64,Population,KEN,Female,1/1/2008,0M,281237.154142907,
5 to 9,Population,TUN,Male,1/1/2016,0M,,473160.695366735
5 to 9,Population,DJI,Male,1/1/2009,0M,,53678.272948533
75 to 79,Population,PRT,Female,1/1/2011,0M,251347.561351973,
65 to 69,Population,FRA,Male,1/1/2015,2M,,1717721.59014193
5 to 9,Population,SLB,Male,1/1/2014,0M,,41556.987802182
50 to 54,Population,ESP,Female,1/1/2009,1M,1493893.11853131,
30 to 34,Population,AZE,Female,1/1/2010,0M,350818.02898261,
65 to 69,Population,USA,Male,1/1/2014,7M,,7112411.70589657
45 to 49,Population,FJI,Female,1/1/2013,0M,26180.225947161,
Under 5,Population,FIN,Male,1/1/2011,0M,,154820.94469537
65 to 69,Population,BRN,Female,1/1/2017,0M,4028.781261386,
75 to 79,Population,AFG,Female,1/1/2015,0M,63510.007071118,
30 to 34,Population,GTM,Male,1/1/2015,1M,,552446.748537218
Under 5,Population,BGD,Female,1/1/2013,8M,7674456.49768123,
5 to 9,Population,GNB,Female,1/1/2015,0M,127306.369139055,
55 to 59,Population,NZL,Male,1/1/2013,0M,,128216.375112877
80 plus,Population,POL,Male,1/1/2012,0M,,428509.580387906
70 to 74,Population,LSO,Female,1/1/2010,0M,15469.470992976,
75 to 79,Population,ESP,Female,1/1/2013,1M,985902.087802206,
65 to 69,Population,SUR,Male,1/1/2010,0M,,5790.747864082
40 to 44,Population,VNM,Female,1/1/2011,3M,3177044.39880513,
60 to 64,Population,UKR,Female,1/1/2009,1M,1298560.2462964,
25 to 29,Population,CUB,Male,1/1/2013,0M,,410830.128454791
Under 5,Population,THA,Male,1/1/2013,2M,,1949218.59796205
80 plus,Population,FJI,Female,1/1/2013,0M,3272.772121109,
15 to 19,Population,AUS,Male,1/1/2013,1M,,745905.975475752
65 to 69,Population,BEL,Female,1/1/2014,0M,298982.350546776,
80 plus,Population,LBN,Female,1/1/2014,0M,51631.631225018,
75 to 79,Population,VNM,Male,1/1/2008,0M,,468078.989943245
5 to 9,Population,MYS,Female,1/1/2008,1M,1319727.7487773,
Under 5,Population,JAM,Male,1/1/2015,0M,,100647.055256792
15 to 19,Population,AGO,Male,1/1/2009,1M,,1005737.76229067
80 plus,Population,ISR,Female,1/1/2017,0M,155001.712024606,
10 to 14,Population,LVA,Female,1/1/2014,0M,44648.339821206,
70 to 74,Population,BHS,Female,1/1/2016,0M,3926.208392703,
80 plus,Population,UKR,Female,1/1/2013,1M,1150906.21051549,
50 to 54,Population,KGZ,Male,1/1/2016,0M,,141908.841150474
80 plus,Population,ECU,Male,1/1/2010,0M,,95006.652476045
30 to 34,Population,MDG,Male,1/1/2016,1M,,799052.252153992
55 to 59,Population,CYP,Male,1/1/2015,0M,,35084.654910687
30 to 34,Population,AGO,Male,1/1/2013,1M,,678720.076785656
20 to 24,Population,BMU,Female,1/1/2015,0M,1820.449669535,
55 to 59,Population,SOM,Female,1/1/2014,0M,165506.00996972,
45 to 49,Population,UKR,Female,1/1/2013,2M,1621511.28212402,
50 to 54,Population,NGA,Female,1/1/2017,3M,3084689.31627939,
55 to 59,Population,HUN,Female,1/1/2010,0M,404778.905304852,
5 to 9,Population,LBN,Female,1/1/2017,0M,415573.365446473,
45 to 49,Population,BTN,Female,1/1/2014,0M,16859.272419998,
65 to 69,Population,LCA,Male,1/1/2011,0M,,2240.968946841
30 to 34,Population,AND,Female,1/1/2012,0M,3292.580506794,
10 to 14,Population,CHN,Male,1/1/2016,40M,,39628855.2790312
45 to 49,Population,ISR,Female,1/1/2017,0M,251120.823330146,
40 to 44,Population,SLE,Male,1/1/2010,0M,,136458.94980459
40 to 44,Population,PRT,Male,1/1/2008,0M,,388395.262852253
60 to 64,Population,HTI,Male,1/1/2009,0M,,94953.708812479
Under 5,Population,SUR,Male,1/1/2017,0M,,24327.206325241
60 to 64,Population,MUS,Female,1/1/2017,0M,37526.019172461,
30 to 34,Population,NAM,Female,1/1/2015,0M,86621.992397252,
5 to 9,Population,SVN,Female,1/1/2016,0M,52009.656658289,
30 to 34,Population,AUS,Male,1/1/2009,1M,,700829.753980185
35 to 39,Population,ATG,Female,1/1/2016,0M,3560.381696193,
45 to 49,Population,SLB,Male,1/1/2017,0M,,14277.449195521
50 to 54,Population,LKA,Male,1/1/2008,1M,,546261.478803453
20 to 24,Population,BEN,Male,1/1/2014,0M,,456151.264486719
40 to 44,Population,BHR,Male,1/1/2017,0M,,128874.598944437
80 plus,Population,PNG,Male,1/1/2013,0M,,7991.458291360
65 to 69,Population,SVK,Male,1/1/2017,0M,,135175.453699613
45 to 49,Population,HTI,Male,1/1/2013,0M,,212575.98782393
15 to 19,Population,QAT,Male,1/1/2015,0M,,51936.630076955
45 to 49,Population,PNG,Male,1/1/2013,0M,,191103.687159267
45 to 49,Population,LBN,Female,1/1/2014,0M,179900.375667753,
20 to 24,Population,GHA,Male,1/1/2012,1M,,1232922.74224399
75 to 79,Population,RWA,Male,1/1/2009,0M,,18167.075420090
75 to 79,Population,ARG,Female,1/1/2010,0M,480201.139496307,
Under 5,Population,UZB,Male,1/1/2013,2M,,1713704.30733092
55 to 59,Population,BWA,Male,1/1/2017,0M,,30313.037753110
30 to 34,Population,KOR,Male,1/1/2012,2M,,2084071.11265515
35 to 39,Population,TCD,Male,1/1/2008,0M,,226966.847569165
30 to 34,Population,PAK,Male,1/1/2015,7M,,7295603.10991832
80 plus,Population,SLB,Male,1/1/2017,0M,,1389.006672475
20 to 24,Population,TJK,Female,1/1/2014,0M,441209.28274727,
60 to 64,Population,CAF,Female,1/1/2008,0M,33197.185424956,
35 to 39,Population,MEX,Female,1/1/2011,4M,4460405.37646504,
60 to 64,Population,TKM,Female,1/1/2013,0M,64551.957120997,
5 to 9,Population,TTO,Male,1/1/2009,0M,,46738.488746860
80 plus,Population,HTI,Male,1/1/2013,0M,,27213.835441929
30 to 34,Population,ARE,Male,1/1/2010,1M,,1461180.44776684
15 to 19,Population,GNQ,Female,1/1/2015,0M,63855.275639932,
45 to 49,Population,MDV,Female,1/1/2010,0M,8130.703466986,
70 to 74,Population,LUX,Female,1/1/2016,0M,9745.053611733,
55 to 59,Population,KEN,Male,1/1/2011,0M,,406642.919991772
65 to 69,Population,LKA,Female,1/1/2011,0M,334432.911039295,
50 to 54,Population,LCA,Female,1/1/2008,0M,4081.433103739,
70 to 74,Population,SLV,Male,1/1/2016,0M,,52196.445167392
60 to 64,Population,PNG,Male,1/1/2009,0M,,70585.664728251
